기관대분류,최상위기관,기관명,전체기관명,총계,공개장소,비공개장소,공개장소 소계,범죄예방,시설안전 및 화재예방,교통단속,교통정보수집 분석 및 제공
국가행정기관,경찰청,대전중부경찰서,경찰청 대전광역시지방경찰청 대전중부경찰서,115,70,45,70,0,70,0,0
국가행정기관,경찰청,도로교통공단,경찰청 도로교통공단,1429,1328,101,1328,186,1142,0,0
국가행정기관,경찰청,부산광역시경찰청,경찰청 부산광역시경찰청,1504,1170,334,1170,0,37,1133,0
국가행정기관,경찰청,부산강서경찰서,경찰청 부산광역시경찰청 부산강서경찰서,112,59,53,59,0,59,0,0
국가행정기관,경찰청,부산금정경찰서,경찰청 부산광역시경찰청 부산금정경찰서,97,60,37,60,0,60,0,0
국가행정기관,경찰청,부산기장경찰서,경찰청 부산광역시경찰청 부산기장경찰서,109,25,84,25,0,25,0,0
국가행정기관,경찰청,부산남부경찰서,경찰청 부산광역시경찰청 부산남부경찰서,214,96,118,96,0,96,0,0
국가행정기관,경찰청,부산동래경찰서,경찰청 부산광역시경찰청 부산동래경찰서,173,86,87,86,0,86,0,0
국가행정기관,경찰청,부산동부경찰서,경찰청 부산광역시경찰청 부산동부경찰서,97,57,40,57,0,57,0,0
국가행정기관,경찰청,부산북부경찰서,경찰청 부산광역시경찰청 부산북부경찰서,134,56,78,56,0,56,0,0
국가행정기관,경찰청,부산사상경찰서,경찰청 부산광역시경찰청 부산사상경찰서,148,68,80,68,0,68,0,0
국가행정기관,경찰청,부산사하경찰서,경찰청 부산광역시경찰청 부산사하경찰서,147,78,69,78,0,78,0,0
국가행정기관,경찰청,부산서부경찰서,경찰청 부산광역시경찰청 부산서부경찰서,104,43,61,43,0,43,0,0
국가행정기관,경찰청,부산연제경찰서,경찰청 부산광역시경찰청 부산연제경찰서,167,61,106,61,0,61,0,0
국가행정기관,경찰청,부산영도경찰서,경찰청 부산광역시경찰청 부산영도경찰서,85,52,33,52,0,52,0,0
국가행정기관,경찰청,부산중부경찰서,경찰청 부산광역시경찰청 부산중부경찰서,67,40,27,40,0,40,0,0
국가행정기관,경찰청,부산진경찰서,경찰청 부산광역시경찰청 부산진경찰서,220,117,103,117,0,117,0,0
국가행정기관,경찰청,부산해운대경찰서,경찰청 부산광역시경찰청 부산해운대경찰서,152,73,79,73,0,73,0,0
국가행정기관,경찰청,서울특별시지방경찰청,경찰청 서울특별시지방경찰청,2528,1905,623,1905,0,127,1778,0
국가행정기관,경찰청,1기동대,경찰청 서울특별시지방경찰청 1기동대,19,0,19,0,0,0,0,0
국가행정기관,경찰청,202경비대,경찰청 서울특별시지방경찰청 202경비대,43,0,43,0,0,0,0,0
국가행정기관,경찰청,22경찰경호대,경찰청 서울특별시지방경찰청 22경찰경호대,12,0,12,0,0,0,0,0
국가행정기관,경찰청,2기동대,경찰청 서울특별시지방경찰청 2기동대,58,0,58,0,0,0,0,0
국가행정기관,경찰청,3기동대,경찰청 서울특별시지방경찰청 3기동대,68,3,65,3,0,3,0,0
국가행정기관,경찰청,4기동대,경찰청 서울특별시지방경찰청 4기동대,41,0,41,0,0,0,0,0
국가행정기관,경찰청,5기동대,경찰청 서울특별시지방경찰청 5기동대,56,0,56,0,0,0,0,0
국가행정기관,경찰청,6기동대,경찰청 서울특별시지방경찰청 6기동대,17,0,17,0,0,0,0,0
국가행정기관,경찰청,7기동대,경찰청 서울특별시지방경찰청 7기동대,12,0,12,0,0,0,0,0
국가행정기관,경찰청,8기동대,경찰청 서울특별시지방경찰청 8기동대,28,0,28,0,0,0,0,0
국가행정기관,경찰청,경찰특공대,경찰청 서울특별시지방경찰청 경찰특공대,30,21,9,21,0,21,0,0
국가행정기관,경찰청,국회경비대,경찰청 서울특별시지방경찰청 국회경비대,11,0,11,0,0,0,0,0
국가행정기관,경찰청,기동단,경찰청 서울특별시지방경찰청 기동단,19,0,19,0,0,0,0,0
국가행정기관,경찰청,김포공항경찰대,경찰청 서울특별시지방경찰청 김포공항경찰대,5,0,5,0,0,0,0,0
국가행정기관,경찰청,서울강남경찰서,경찰청 서울특별시지방경찰청 서울강남경찰서,277,79,198,79,0,79,0,0
국가행정기관,경찰청,서울강동경찰서,경찰청 서울특별시지방경찰청 서울강동경찰서,245,53,192,53,0,53,0,0
국가행정기관,경찰청,서울강북경찰서,경찰청 서울특별시지방경찰청 서울강북경찰서,142,86,56,86,0,86,0,0
국가행정기관,경찰청,서울강서경찰서,경찰청 서울특별시지방경찰청 서울강서경찰서,273,177,96,177,0,177,0,0
국가행정기관,경찰청,서울관악경찰서,경찰청 서울특별시지방경찰청 서울관악경찰서,181,102,79,102,0,102,0,0
국가행정기관,경찰청,서울광진경찰서,경찰청 서울특별시지방경찰청 서울광진경찰서,238,127,111,127,0,127,0,0
국가행정기관,경찰청,서울구로경찰서,경찰청 서울특별시지방경찰청 서울구로경찰서,144,88,56,88,0,88,0,0
국가행정기관,경찰청,서울금천경찰서,경찰청 서울특별시지방경찰청 서울금천경찰서,202,57,145,57,0,57,0,0
국가행정기관,경찰청,서울남대문경찰서,경찰청 서울특별시지방경찰청 서울남대문경찰서,117,26,91,26,0,26,0,0
국가행정기관,경찰청,서울노원경찰서,경찰청 서울특별시지방경찰청 서울노원경찰서,140,72,68,72,0,72,0,0
국가행정기관,경찰청,서울도봉경찰서,경찰청 서울특별시지방경찰청 서울도봉경찰서,149,41,108,41,0,41,0,0
국가행정기관,경찰청,서울동대문경찰서,경찰청 서울특별시지방경찰청 서울동대문경찰서,201,116,85,116,0,116,0,0
국가행정기관,경찰청,서울동작경찰서,경찰청 서울특별시지방경찰청 서울동작경찰서,133,76,57,76,0,76,0,0
국가행정기관,경찰청,서울마포경찰서,경찰청 서울특별시지방경찰청 서울마포경찰서,180,98,82,98,12,86,0,0
국가행정기관,경찰청,서울방배경찰서,경찰청 서울특별시지방경찰청 서울방배경찰서,77,46,31,46,0,46,0,0
국가행정기관,경찰청,서울서대문경찰서,경찰청 서울특별시지방경찰청 서울서대문경찰서,139,47,92,47,0,47,0,0
국가행정기관,경찰청,서울서부경찰서,경찰청 서울특별시지방경찰청 서울서부경찰서,190,53,137,53,0,53,0,0
국가행정기관,경찰청,서울서초경찰서,경찰청 서울특별시지방경찰청 서울서초경찰서,181,88,93,88,0,88,0,0
국가행정기관,경찰청,서울성동경찰서,경찰청 서울특별시지방경찰청 서울성동경찰서,153,68,85,68,0,68,0,0
국가행정기관,경찰청,서울성북경찰서,경찰청 서울특별시지방경찰청 서울성북경찰서,164,97,67,97,0,97,0,0
국가행정기관,경찰청,서울송파경찰서,경찰청 서울특별시지방경찰청 서울송파경찰서,232,159,73,159,0,159,0,0
국가행정기관,경찰청,서울수서경찰서,경찰청 서울특별시지방경찰청 서울수서경찰서,191,62,129,62,0,62,0,0
국가행정기관,경찰청,서울양천경찰서,경찰청 서울특별시지방경찰청 서울양천경찰서,146,57,89,57,0,57,0,0
국가행정기관,경찰청,서울영등포경찰서,경찰청 서울특별시지방경찰청 서울영등포경찰서,150,81,69,81,0,81,0,0
국가행정기관,경찰청,서울용산경찰서,경찰청 서울특별시지방경찰청 서울용산경찰서,144,57,87,57,0,57,0,0
국가행정기관,경찰청,서울은평경찰서,경찰청 서울특별시지방경찰청 서울은평경찰서,152,95,57,95,0,95,0,0
국가행정기관,경찰청,서울종로경찰서,경찰청 서울특별시지방경찰청 서울종로경찰서,167,76,91,76,0,76,0,0
국가행정기관,경찰청,서울종암경찰서,경찰청 서울특별시지방경찰청 서울종암경찰서,107,70,37,70,0,70,0,0
국가행정기관,경찰청,서울중랑경찰서,경찰청 서울특별시지방경찰청 서울중랑경찰서,211,126,85,126,0,126,0,0
국가행정기관,경찰청,서울중부경찰서,경찰청 서울특별시지방경찰청 서울중부경찰서,83,42,41,42,0,42,0,0
국가행정기관,경찰청,서울혜화경찰서,경찰청 서울특별시지방경찰청 서울혜화경찰서,101,77,24,77,0,77,0,0
국가행정기관,경찰청,세종특별자치시경찰청,경찰청 세종특별자치시경찰청,69,2,67,2,0,2,0,0
국가행정기관,경찰청,세종남부경찰서,경찰청 세종특별자치시경찰청 세종남부경찰서,149,28,121,28,0,28,0,0
국가행정기관,경찰청,세종북부경찰서,경찰청 세종특별자치시경찰청 세종북부경찰서,66,31,35,31,0,31,0,0
국가행정기관,경찰청,울산광역시경찰청,경찰청 울산광역시경찰청,961,851,110,851,0,36,815,0
국가행정기관,경찰청,울산남부경찰서,경찰청 울산광역시경찰청 울산남부경찰서,174,101,73,101,0,101,0,0
국가행정기관,경찰청,울산동부경찰서,경찰청 울산광역시경찰청 울산동부경찰서,127,52,75,52,0,52,0,0
국가행정기관,경찰청,울산북부경찰서,경찰청 울산광역시경찰청 울산북부경찰서,126,47,79,47,0,47,0,0
국가행정기관,경찰청,울산울주경찰서,경찰청 울산광역시경찰청 울산울주경찰서,134,133,1,133,0,133,0,0
국가행정기관,경찰청,울산중부경찰서,경찰청 울산광역시경찰청 울산중부경찰서,136,67,69,67,0,67,0,0
국가행정기관,경찰청,인천광역시지방경찰청,경찰청 인천광역시지방경찰청,1340,983,357,983,0,48,935,0
국가행정기관,경찰청,인천강화경찰서,경찰청 인천광역시지방경찰청 인천강화경찰서,108,45,63,45,0,45,0,0
국가행정기관,경찰청,인천계양경찰서,경찰청 인천광역시지방경찰청 인천계양경찰서,117,63,54,63,0,63,0,0
국가행정기관,경찰청,인천국제공항경찰단,경찰청 인천광역시지방경찰청 인천국제공항경찰단,49,4,45,4,0,4,0,0
국가행정기관,경찰청,인천남동경찰서,경찰청 인천광역시지방경찰청 인천남동경찰서,116,57,59,57,0,57,0,0
국가행정기관,경찰청,인천논현경찰서,경찰청 인천광역시지방경찰청 인천논현경찰서,154,36,118,36,0,36,0,0
국가행정기관,경찰청,인천미추홀경찰서,경찰청 인천광역시지방경찰청 인천미추홀경찰서,204,72,132,72,0,72,0,0
국가행정기관,경찰청,인천부평경찰서,경찰청 인천광역시지방경찰청 인천부평경찰서,112,66,46,66,0,66,0,0
국가행정기관,경찰청,인천삼산경찰서,경찰청 인천광역시지방경찰청 인천삼산경찰서,173,62,111,62,0,62,0,0
국가행정기관,경찰청,인천서부경찰서,경찰청 인천광역시지방경찰청 인천서부경찰서,234,80,154,80,0,80,0,0
국가행정기관,경찰청,인천연수경찰서,경찰청 인천광역시지방경찰청 인천연수경찰서,130,42,88,42,0,42,0,0
